ABBRV	SOURCE	NUM_DEF	DEFINITION
DHEA	SEDOM	1	Deshidroepiandrosterona
SCQ	SEDOM	1	Superficie corporal quemada
SCP	SEDOM	2	Síndrome de congestión pélvica
SCP	SEDOM	2	Sistemas de clasificación de pacientes
SCS	SEDOM	3	Servei Català de la Salut 
SCS	SEDOM	3	Servicio Catalán de la Salud
SCS	SEDOM	3	Servicio Cántabro de Salud
SCS	SEDOM	3	Spinal cord stimulation 
SCS	SEDOM	3	Estimulación de la médula espinal
SCR	SEDOM	1	Síndrome cardiorrenal
SCU	SEDOM	1	Sangre de cordón umbilical
SCT	SEDOM	1	Superficie corporal total
BBK	SEDOM	1	Betabloqueante
Sdr.	SEDOM	1	Síndrome
Ab.	SEDOM	2	Ablación
Ab.	SEDOM	2	Aborto
H2O2	SEDOM	1	agua oxigenada
H2O2	SEDOM	1	Peróxido de Hidrógeno 
Ab-	SEDOM	1	Prefijo que significa de o desde
CEAP	SEDOM	1	Clasificación Clínica, Etiológica, Anatómica y Fisiopatológica de los trastornos venosos crónicos
SDD	SEDOM	1	Síndrome de demencia depresiva
SDG	SEDOM	1	Semanas de gestación
Adenop.	SEDOM	1	Adenopatías
SDM	SEDOM	1	Síndrome
SLAC	SEDOM	1	Scaphoid lunate advanced collapse
SDP	SEDOM	1	Sin datos patológicos
SDR	SEDOM	2	Rizotomía dorsal selectiva
SDR	SEDOM	2	Selective dorsal rhizotomy 
SDR	SEDOM	2	Síndrome de dificultad respiratoria
BCA	SEDOM	1	Balón de contrapulsación aórtica
BCC	SEDOM	1	Bloqueadores de los canales de calcio
ESWL	SEDOM	1	Extracorporeal shock wave lithotripsy 
ESWL	SEDOM	1	Litotricia extracorpórea por ondas de choque
SDV	SEDOM	1	Síndrome de dolor vesical
STOP	SEDOM	1	Sindrome de taquicardia ortostática postural
BCG	SEDOM	1	Bacilo de Calmette y Guérin
BPRS-A	SEDOM	1	Brief Psychiatric Rating Scale Amplied 
BPRS-A	SEDOM	1	Escala breve de evaluación psiquiátrica ampliada
BCO	SEDOM	1	Broncopatía crónica obstructiva
Cta.	SEDOM	2	Consulta
Cta.	SEDOM	2	Cucharadita
cta.	SEDOM	2	Consulta
cta.	SEDOM	2	Cucharadita
SEC	SEDOM	1	Sociedad Española de Cardiología
DPTY	SEDOM	1	Derivación portosistémica transyugular
BCT	SEDOM	1	Barrido corporal total
STPD	SEDOM	1	Condiciones estándar de temperatura y presión barométrica sin vapor de agua
STPD	SEDOM	1	Standard temperature and pressure, dry 
BCS	SEDOM	2	Banco de sangre 
BCS	SEDOM	2	Servicio de
BCS	SEDOM	2	Bronquitis crónica simple
SED	SEDOM	1	Sociedad Española de Diabetes
SEF	SEDOM	1	Sociedad Española de Farmacología
Madden	SEDOM	1	Mastectomía radical modificada
SEH	SEDOM	1	Sociedad Española de Hipertensión
sem	SEDOM	3	Semana
sem	SEDOM	3	Síndrome de eosinofilia-mialgia
sem	SEDOM	3	Servicio de Emergencias Médicas
SEM	SEDOM	3	Semana
SEM	SEDOM	3	Síndrome de eosinofilia-mialgia
SEM	SEDOM	3	Servicio de Emergencias Médicas
HCOP	SEDOM	1	Historia clínica orientada a problemas
IFRT	SEDOM	1	Radioterapia de campo afecto
IFRT	SEDOM	1	Involved-Field Radiation Therapy 
SEN	SEDOM	2	Sociedad Española de Neonatología
SEN	SEDOM	2	Sociedad Española de Neurología
SEP	SEDOM	1	Síndrome extrapiramidal
SES	SEDOM	3	Servicio Extremeño de Salud
SES	SEDOM	3	Sobre estrecho superior 
SES	SEDOM	3	altura de la presentación en la pelvis materna
SES	SEDOM	3	Sociedad Española del Sueño
A	SEDOM	9	Abdomen
A	SEDOM	9	Aborto
A	SEDOM	9	Aguas 
A	SEDOM	9	meconiales
A	SEDOM	9	Analítica
A	SEDOM	9	Anestesia
A	SEDOM	9	Anexo
A	SEDOM	9	Antecedentes
A	SEDOM	9	Años
A	SEDOM	9	Aurícula
SER	SEDOM	1	Sociedad Española de Reumatología
B	SEDOM	3	Basófilo
B	SEDOM	3	Biopsia
B	SEDOM	3	amniótica
B	SEDOM	3	Bolsa 
SEU	SEDOM	1	Servicio de Urgencias
SF6	SEDOM	1	gas utilizado para reemplazar el humor vítreo y mantener la retina
SF6	SEDOM	1	Exafluoruro de azufre 
C	SEDOM	11	Ácido ascórbico, vitamina
C	SEDOM	11	Caloría grande
C	SEDOM	11	Canino
C	SEDOM	11	Carbono
C	SEDOM	11	Cirugía
C	SEDOM	11	Complemento
C	SEDOM	11	Consulta
C	SEDOM	11	Culombio
C	SEDOM	11	Letra correspondiente a uno de los cinco antígenos más frecuentes del grupo sanguíneo Rh
C	SEDOM	11	Caloría pequeña
C	SEDOM	11	10-2
C	SEDOM	11	Centi- 
c	SEDOM	11	Ácido ascórbico, vitamina
c	SEDOM	11	Caloría grande
c	SEDOM	11	Canino
c	SEDOM	11	Carbono
c	SEDOM	11	Cirugía
c	SEDOM	11	Complemento
c	SEDOM	11	Consulta
c	SEDOM	11	Culombio
c	SEDOM	11	Letra correspondiente a uno de los cinco antígenos más frecuentes del grupo sanguíneo Rh
c	SEDOM	11	Caloría pequeña
c	SEDOM	11	10-2
c	SEDOM	11	Centi- 
D	SEDOM	10	Derecho
D	SEDOM	10	Desayuno
D	SEDOM	10	Diagnóstico
D	SEDOM	10	Diálisis
D	SEDOM	10	Dioptría
D	SEDOM	10	Diuresis
D	SEDOM	10	Dosis
D	SEDOM	10	Vitamina
D	SEDOM	10	10-1
D	SEDOM	10	Deci- 
D	SEDOM	10	Día
d	SEDOM	10	Derecho
d	SEDOM	10	Desayuno
d	SEDOM	10	Diagnóstico
d	SEDOM	10	Diálisis
d	SEDOM	10	Dioptría
d	SEDOM	10	Diuresis
d	SEDOM	10	Dosis
d	SEDOM	10	Vitamina
d	SEDOM	10	10-1
d	SEDOM	10	Deci- 
d	SEDOM	10	Día
Sme.	SEDOM	1	Síndrome
E	SEDOM	6	Eosinófilo
E	SEDOM	6	Eritrocito
E	SEDOM	6	Esófago
E	SEDOM	6	Especificidad
E	SEDOM	6	Esterilización
E	SEDOM	6	Vitamina E 
E	SEDOM	6	Tocoferol
BDI	SEDOM	2	Beck Depression Inventory 
BDI	SEDOM	2	Inventario de Depresión de Beck
BDI	SEDOM	2	abdomen
BDI	SEDOM	2	Blando, depresible e indoloro 
G	SEDOM	5	Gástrico
G	SEDOM	5	Glucemia
G	SEDOM	5	Grado
G	SEDOM	5	Gravidez
G	SEDOM	5	Gramo
g	SEDOM	5	Gástrico
g	SEDOM	5	Glucemia
g	SEDOM	5	Grado
g	SEDOM	5	Gravidez
g	SEDOM	5	Gramo
I	SEDOM	7	Impresión
I	SEDOM	7	Índice
I	SEDOM	7	Infección
I	SEDOM	7	Insuficiencia
I	SEDOM	7	Insulina
